profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P3,42,18200084,True,0.04007688190540462,,
P3,43,18200085,True,0.03239707831326391,,
P3,44,18200086,True,0.04161114598953429,,
P3,45,18200087,True,0.053320189782743416,,
P3,46,18200088,True,0.036218605890239175,,
P3,47,18200089,True,0.0402384741223877,,
P3,48,18200090,True,0.02281323231671724,,
P3,49,18200091,True,0.029664340311150807,,
P3,50,18200092,True,0.08734980777782976,,
P3,51,18200093,True,0.0525364909858258,,
P3,52,18200094,True,0.04269584948440094,,
P3,53,18200095,True,0.04077963580301929,,
P3,54,18200096,True,0.05924885392681047,,
P3,55,18200097,True,0.03566872508598082,,
P3,56,18200098,True,0.026113763376482035,,
P3,57,18200099,True,0.024739479606819076,,
P3,58,18200100,False,0.14568920641067862,,
P3,59,18200101,True,0.03401913666425532,,
P3,60,18200102,True,0.07273639284494217,,
P3,61,18200103,True,0.04183828141916366,,
P3,62,18200104,True,0.057103674534495164,,
P3,63,18200105,True,0.040725587617672046,,
P3,64,18200106,True,0.04567006947800495,,
P3,65,18200107,True,0.030651558501332807,,
P3,66,18200108,True,0.0342459227804587,,
P3,67,18200109,True,0.02704006333625778,,
P3,68,18200110,True,0.05277129795786753,,
P3,69,18200111,True,0.03759634732772947,,
P3,70,18200112,True,0.04915335631502593,,
P3,71,18200113,True,0.028376045291727436,,
P3,72,18200114,True,0.03675345942058995,,
P3,73,18200115,True,0.041466913508282105,,
P3,74,18200116,True,0.03247135053741654,,
P3,75,18200117,True,0.04493346057764582,,
P3,76,18200118,True,0.031177109586022447,,
P3,77,18200119,True,0.03429656003022295,,
P3,78,18200120,True,0.0438249461598331,,
P3,79,18200121,True,0.09059778057718419,,
P3,80,18200122,True,0.03110496765840612,,
P3,81,18200123,True,0.026823964548415312,,
P3,82,18200124,True,0.041611145989533305,,
P3,83,18200125,True,0.027658123914656347,,
P3,84,18200126,True,0.04032460644157002,,
P3,85,18200127,True,0.03777915023965689,,
P3,86,18200128,True,0.05186108125226866,,
P3,87,18200129,True,0.07064748837013961,,
P3,88,18200130,True,0.04161114598953264,,
P3,89,18200131,True,0.033686148766429294,,
P3,90,18200132,True,0.035935764609945665,,
P3,91,18200133,True,0.05008540077456171,,
P3,92,18200134,True,0.028253486823128452,,
P3,93,18200135,True,0.03305384796641418,,
P3,94,18200136,True,0.03740270441307754,,
P3,95,18200137,True,0.06599765503038127,,
P3,96,18200138,True,0.0498743473256879,,
P3,97,18200139,True,0.04097612216346911,,
P3,98,18200140,True,0.04615357396518136,,
P3,99,18200141,True,0.03587105383674754,,
P3,100,18200142,True,0.033497733931187504,,
P3,101,18200143,True,0.03215393630797028,,
P3,102,18200144,True,0.04968481517311942,,
P3,103,18200145,True,0.08728101938792873,,
P3,104,18200146,True,0.03236272644576231,,
P3,105,18200147,True,0.09753719563698632,,
P3,106,18200148,True,0.040779635803020936,,
P3,107,18200149,True,0.026970985585030145,,
P3,108,18200150,True,0.03271837316856343,,
P3,109,18200151,True,0.040408327883785525,,
P3,110,18200152,True,0.035664099008120786,,
P3,111,18200153,True,0.03215393630796962,,
P3,112,18200154,True,0.04933949941704108,,
P3,113,18200155,True,0.042968222707238955,,
P3,114,18200156,True,0.04327633649880322,,
P3,115,18200157,True,0.037503891615238504,,
P3,116,18200158,True,0.022627233387309632,,
P3,117,18200159,True,0.04978830878039926,,
P3,118,18200160,True,0.05699821141922192,,
P3,119,18200161,True,0.04116657623580168,,
P3,120,18200162,True,0.060075673290712825,,
P3,121,18200163,True,0.05186108125226931,,
P3,122,18200164,True,0.030911127057136056,,
P3,123,18200165,True,0.053282488848289886,,
P3,124,18200166,True,0.029936038687523245,,
P3,125,18200167,True,0.07595196565071029,,
P3,126,18200168,True,0.041958132554265636,,
P3,127,18200169,True,0.0659544642093147,,
P3,128,18200170,True,0.03287158694293295,,
P3,129,18200171,True,0.044252715880745974,,
P3,130,18200172,True,0.03888862228506229,,
P3,131,18200173,True,0.04574476289321216,,
P3,132,18200174,True,0.07370101287413716,,
P3,133,18200175,True,0.04183828141916366,,
P3,134,18200176,True,0.02410602661481017,,
P3,135,18200177,True,0.02966434031115048,,
P3,136,18200178,True,0.031378659655307096,,
P3,137,18200179,True,0.03893218882992387,,
P3,138,18200180,True,0.053320189782745726,,
